Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],avg_over_time
Mali,MLI,..,..,..,2.96596,..,2.97931,3.18932,..,3.45745,3.6863,3.65173,4.04705,3.42530285714286
Malta,MLT,..,..,..,..,..,..,98.36826,98.81794,99.16025,95.97422,97.00699,98.64326,97.9951533333333
Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,33.43384,34.00272,33.71828
Mauritania,MRT,..,..,..,..,..,..,..,..,..,..,..,..,..
Mauritius,MUS,90.19571,88.86002,87.68612,86.51224,91.31728,92.27983,94.36405,99.1338,98.60453,95.14593,96.11781,93.49473,92.8093375
Mexico,MEX,74.29276,81.97412,85.62,85.54118,83.01263,82.85023,82.48736,83.2001,69.4241,69.97973,70.2943,70.36746,78.2536641666667
"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,29.43066,..,29.43066
Moldova,MDA,63.67431,68.6021,68.45583,71.07977,72.73202,74.04054,75.81805,78.30162,80.61743,81.62573,82.32799,83.60704,75.0735358333333
Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..,..
Mongolia,MNG,40.17102,46.75091,46.68391,46.86283,56.69447,58.47249,62.01853,64.85465,74.90712,75.79598,76.44332,80.23334,60.8240475
Montenegro,MNE,29.23899,29.21502,26.85252,28.54992,30.33754,31.3555,35.34267,44.07173,..,..,53.79879,54.13589,36.289857
Morocco,MAR,51.21408,52.63011,53.41444,50.82381,..,49.9334,..,49.47874,49.10203,53.00505,50.78122,45.07929,50.546217
Mozambique,MOZ,..,..,..,..,..,..,..,..,..,..,..,..,..
Myanmar,MMR,..,4.48321,4.68395,5.28409,5.64764,7.60658,..,..,..,..,..,..,5.541094
Namibia,NAM,..,..,..,..,..,..,..,14.9849,20.70668,..,..,..,17.84579
Nauru,NRU,..,..,61.85714,..,..,..,..,57.8354,..,..,..,51.222,56.9715133333333
Nepal,NPL,..,..,..,..,..,..,52.0469,56.45698,57.93246,53.00005,56.97276,56.71852,55.5212783333333
Netherlands,NLD,..,..,..,..,..,..,89.8003,90.47161,92.82779,93.56545,94.37003,95.10752,92.69045
New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..
